Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
8360,76,RL,84,15097,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,4,2002,2003,Gable,CompShg,VinylSd,VinylSd,Stone,82,Gd,TA,PConc,Gd,TA,Gd,Rec,957,Unf,83,87,682,GasA,Ex,Y,SBrkr,1320,548,74,2047,0,0,2,1,4,1,Gd,8,Typ,1,NA,Attchd,1963,RFn,3,726,TA,TA,Y,76,48,9,8,40,49,NA,NA,NA,27,5,2009,WD,Normal,260035
8361,29,RL,66,3312,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,SLvl,8,7,1988,2000,Hip,CompShg,VinylSd,VinylSd,None,80,TA,TA,PConc,Gd,TA,No,GLQ,494,LwQ,313,418,1129,GasA,Ex,Y,SBrkr,1133,837,57,1903,0,0,1,0,4,0,Gd,8,Typ,1,NA,Attchd,1968,Unf,2,680,TA,TA,Y,282,59,5,12,13,4,NA,MnPrv,NA,481,4,2006,WD,Normal,270243
8362,146,RL,43,10123,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,7,1954,1958,Gable,CompShg,VinylSd,Wd Sdng,None,0,TA,TA,CBlock,TA,TA,No,Unf,40,Unf,79,814,1083,GasA,Fa,Y,SBrkr,926,1032,12,1928,0,1,2,1,4,2,TA,9,Typ,0,Gd,NA,1949,Unf,1,252,TA,TA,Y,81,114,23,61,42,20,NA,MnPrv,NA,283,6,2006,WD,Normal,126749
8363,103,RL,NA,13745,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,2003,2007,Gable,CompShg,VinylSd,MetalSd,Stone,113,TA,TA,CBlock,Gd,TA,Mn,GLQ,1192,Unf,120,184,1195,GasA,Ex,Y,SBrkr,995,644,82,1883,1,0,2,1,4,1,TA,8,Typ,1,TA,Detchd,1973,Unf,3,808,TA,TA,Y,167,143,18,9,50,59,NA,NA,NA,301,4,2008,WD,Normal,253258
8364,33,RL,60,15032,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,4,6,1941,1989,Gable,CompShg,VinylSd,MetalSd,None,0,TA,TA,CBlock,TA,TA,No,GLQ,296,Unf,183,346,720,GasA,Gd,Y,SBrkr,1077,21,49,612,0,0,1,0,3,1,TA,5,Typ,0,Gd,Attchd,1989,Unf,1,410,TA,TA,Y,287,7,45,4,25,39,NA,MnPrv,NA,1269,3,2009,WD,Normal,68754
8365,78,RL,70,5109,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,2Story,5,6,1961,1973,Gable,CompShg,VinylSd,MetalSd,None,0,TA,TA,PConc,TA,TA,No,GLQ,392,Unf,102,834,888,GasA,Ex,Y,SBrkr,719,406,30,829,0,0,1,1,3,1,TA,5,Typ,1,TA,Attchd,1985,Unf,2,447,TA,TA,Y,54,38,104,27,10,51,NA,NA,NA,360,4,2006,WD,Normal,98772
8366,76,RL,70,13300,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1.5Fin,6,6,1991,1978,Gable,CompShg,MetalSd,Plywood,None,72,TA,TA,CBlock,Gd,TA,No,Unf,110,Unf,108,359,711,GasA,TA,Y,SBrkr,613,804,13,1171,0,0,2,0,2,1,TA,4,Typ,1,TA,Attchd,1994,Unf,1,307,NA,TA,Y,134,35,15,10,7,110,NA,NA,NA,599,6,2009,WD,Normal,128918
8367,34,RL,65,22614,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,SawyerW,Norm,Norm,1Fam,1Story,8,3,2010,2009,Gable,CompShg,VinylSd,VinylSd,Stone,65,Fa,TA,PConc,TA,TA,Mn,ALQ,1219,Unf,238,696,1578,GasA,Ex,Y,SBrkr,1903,518,38,2717,1,0,3,1,4,1,Gd,9,Typ,1,TA,Attchd,2004,Fin,3,792,TA,TA,Y,373,137,22,44,49,42,NA,NA,NA,1087,2,2010,WD,Normal,361069
8368,183,RL,58,8119,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,8,5,1996,1964,Gable,CompShg,Wd Sdng,HdBoard,BrkFace,278,Gd,TA,CBlock,Fa,TA,Mn,ALQ,752,Unf,56,150,1155,GasA,Ex,Y,SBrkr,1699,809,27,2619,1,0,2,1,2,2,Ex,9,Typ,2,TA,Attchd,1922,Unf,3,783,TA,TA,Y,96,66,79,17,46,39,NA,NA,NA,631,5,2009,WD,Normal,344661
8369,61,RL,68,18818,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1Story,6,4,1976,1989,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,No,Unf,213,Unf,104,546,1135,GasA,Gd,Y,SBrkr,1264,657,56,1918,0,0,2,0,4,1,Gd,8,Typ,0,NA,Attchd,1999,Fin,2,358,TA,TA,Y,236,165,16,43,0,1,NA,NA,NA,647,7,2007,WD,Normal,169967
8370,20,RL,73,6743,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,1Story,7,6,1991,2004,Hip,CompShg,HdBoard,VinylSd,Stone,81,Gd,TA,CBlock,Gd,Fa,Av,ALQ,713,Unf,205,854,1761,GasA,Ex,Y,SBrkr,1661,8,1,936,1,0,1,0,1,1,Gd,5,Typ,2,Ex,Attchd,2006,RFn,2,702,TA,TA,Y,121,55,48,25,88,17,NA,NA,NA,378,6,2009,WD,Normal,199273
8371,45,RL,51,1647,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,6,2001,1991,Gable,CompShg,MetalSd,HdBoard,None,0,TA,TA,PConc,Gd,TA,No,Unf,674,Unf,10,447,1736,GasA,Ex,Y,SBrkr,1523,3,49,714,1,0,0,0,2,0,Gd,3,Typ,2,TA,Attchd,1930,Unf,2,655,TA,TA,Y,63,69,70,4,11,7,NA,NA,NA,599,6,2009,WD,Normal,171778
8372,126,RL,50,16945,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,SLvl,7,6,1944,1965,Gable,CompShg,VinylSd,VinylSd,BrkFace,300,Gd,TA,CBlock,Gd,TA,No,GLQ,271,Unf,118,605,1067,GasA,Ex,Y,SBrkr,1157,1400,95,2608,0,0,2,1,4,1,Ex,9,Typ,2,TA,Attchd,1971,Fin,1,357,TA,TA,Y,254,173,61,6,110,25,NA,NA,NA,414,5,2007,WD,Normal,290030
8373,27,RL,130,20271,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,6,6,1977,2001,Gable,CompShg,MetalSd,HdBoard,None,0,Gd,TA,CBlock,Gd,TA,Gd,LwQ,304,Rec,103,239,396,GasA,Ex,Y,SBrkr,1442,264,16,1936,0,0,2,0,3,1,Gd,8,Typ,1,Gd,Detchd,2004,Fin,2,419,TA,TA,Y,19,38,24,23,73,10,NA,NA,NA,288,10,2007,WD,Normal,322353
8374,57,FV,74,12157,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,1Fam,1Story,4,5,1951,1974,Gable,CompShg,HdBoard,VinylSd,None,0,TA,TA,CBlock,Gd,TA,No,ALQ,635,Unf,18,52,427,GasA,Ex,Y,SBrkr,948,76,26,725,1,0,1,0,3,1,TA,4,Typ,0,NA,Detchd,1948,RFn,1,403,TA,TA,Y,10,11,117,24,64,14,NA,NA,NA,844,6,2007,WD,Normal,72403
8375,39,RL,112,17862,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1970,1972,Gable,CompShg,MetalSd,VinylSd,BrkFace,270,TA,TA,CBlock,Gd,TA,NA,Rec,797,Unf,197,97,1006,GasA,Gd,Y,SBrkr,1605,82,31,1414,1,0,1,0,2,1,TA,5,Typ,1,Gd,Attchd,1955,Unf,2,644,TA,TA,Y,11,38,44,1,83,54,NA,NA,NA,22,9,2006,New,Partial,225703
8376,35,RM,NA,13623,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,3,5,1922,1956,Gable,CompShg,Wd Sdng,Wd Sdng,None,0,TA,TA,CBlock,TA,TA,No,NA,867,Unf,167,54,553,GasA,Fa,Y,SBrkr,984,28,37,593,0,1,0,0,2,1,TA,3,Typ,0,NA,BuiltIn,2000,Unf,1,389,TA,TA,Y,76,6,28,46,52,39,NA,NA,NA,352,8,2008,WD,Normal,42546
8377,159,RL,62,4498,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,Duplex,SFoyer,6,5,1981,1994,Gable,CompShg,Plywood,BrkFace,BrkFace,183,Gd,TA,PConc,Ex,TA,Mn,GLQ,443,Unf,30,83,422,GasA,Ex,Y,SBrkr,1144,889,15,1978,1,0,2,1,3,1,Gd,8,Typ,1,Gd,Attchd,2005,RFn,3,683,TA,TA,Y,113,177,52,13,62,31,NA,NA,NA,238,3,2007,WD,Normal,263096
8378,53,FV,75,18190,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,6,8,1989,1993,Gable,CompShg,VinylSd,VinylSd,BrkFace,298,Gd,TA,CBlock,Gd,TA,NA,ALQ,724,Unf,168,232,1145,GasA,Ex,Y,SBrkr,1095,330,47,1422,0,1,1,1,3,1,TA,7,Typ,0,Gd,Attchd,1965,Unf,2,490,TA,TA,Y,57,123,28,13,76,31,NA,GdPrv,NA,1587,1,2007,WD,Normal,237904
8379,61,RL,70,2850,Pave,NA,Reg,Lvl,AllPub,FR2,Gtl,Timber,Norm,Norm,1Fam,1Story,7,5,2003,2004,Gable,CompShg,VinylSd,VinylSd,Stone,154,TA,TA,CBlock,Gd,TA,No,ALQ,331,Unf,162,1407,1268,GasA,Ex,Y,SBrkr,1214,847,0,1843,0,0,2,1,3,1,TA,8,Typ,2,TA,Attchd,1977,RFn,2,665,TA,TA,Y,308,108,28,40,12,31,NA,NA,NA,554,5,2008,WD,Normal,196393
8380,46,RL,34,18148,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,5,1981,1962,Hip,CompShg,MetalSd,VinylSd,BrkFace,0,Gd,TA,CBlock,Gd,TA,Av,ALQ,552,Unf,197,438,1657,GasA,Ex,Y,SBrkr,1946,298,69,2175,1,0,1,0,3,1,TA,7,Typ,1,TA,Attchd,1949,Unf,4,1185,TA,TA,Y,62,110,34,9,109,46,NA,NA,NA,307,6,2009,WD,Normal,292097
8381,79,RL,65,6348,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1.5Fin,5,7,1907,1952,Gable,CompShg,BrkComm,BrkFace,None,0,TA,Gd,BrkTil,TA,TA,No,BLQ,473,Unf,157,155,588,GasA,Ex,Y,SBrkr,779,155,79,732,1,0,1,0,2,1,TA,5,Typ,1,NA,BuiltIn,1922,Unf,1,189,TA,TA,Y,32,45,111,38,55,36,NA,MnPrv,NA,423,6,2009,WD,Partial,126972
8382,88,RL,50,13721,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,Norm,TwnhsE,2Story,5,4,1988,1976,Gable,CompShg,HdBoard,HdBoard,None,186,Gd,TA,CBlock,Gd,TA,No,GLQ,176,Unf,116,805,925,GasA,Ex,Y,SBrkr,1463,78,57,1189,0,0,2,0,3,1,TA,8,Typ,1,NA,Attchd,2005,Fin,1,99,TA,TA,Y,216,77,0,31,52,52,NA,NA,NA,1031,3,2009,WD,Normal,131975
8383,136,RL,65,2494,Pave,NA,Reg,Low,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,6,6,1978,2003,Hip,CompShg,VinylSd,VinylSd,BrkFace,0,Gd,TA,PConc,Gd,TA,Mn,BLQ,460,Unf,84,167,523,GasA,Ex,Y,SBrkr,456,640,16,1042,0,0,2,1,2,1,Gd,6,Typ,0,NA,Detchd,2009,Unf,1,86,NA,TA,Y,147,19,7,35,20,5,NA,NA,NA,752,5,2008,WD,Abnorml,69866
8384,87,RL,67,18965,Pave,NA,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,2Story,7,6,1969,2006,Gable,CompShg,HdBoard,VinylSd,None,0,TA,TA,CBlock,TA,TA,No,Unf,99,Unf,118,308,1197,GasA,Ex,Y,SBrkr,1291,633,103,1970,0,0,3,1,3,1,TA,7,Typ,1,Gd,Attchd,1959,RFn,3,632,TA,TA,Y,191,30,113,3,68,31,NA,GdWo,NA,535,3,2008,WD,Normal,220066
8385,25,RL,72,7362,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,2Story,7,4,2007,1983,Gable,CompShg,VinylSd,VinylSd,Stone,0,TA,TA,PConc,Ex,TA,Av,GLQ,117,Unf,34,962,1039,GasA,Ex,Y,SBrkr,1066,480,27,1552,0,0,2,1,3,1,TA,7,Typ,1,NA,Detchd,NA,Fin,2,600,TA,TA,Y,84,72,29,24,19,2,NA,NA,NA,218,9,2010,WD,Normal,212573
8386,59,RL,60,20899,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,6,1998,1995,Hip,CompShg,VinylSd,VinylSd,NA,788,TA,TA,PConc,Ex,TA,No,Unf,97,Unf,105,1547,2157,GasA,TA,Y,SBrkr,1299,1125,15,2565,0,0,3,1,3,1,Gd,11,Typ,1,Gd,Detchd,1946,RFn,3,967,TA,TA,Y,221,110,52,10,37,114,NA,NA,NA,406,4,2006,WD,Normal,399508
8387,39,RL,77,10780,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1910,1953,Hip,CompShg,AsbShng,AsbShng,None,0,TA,TA,BrkTil,TA,TA,Av,ALQ,281,Unf,38,1511,1314,GasA,Gd,N,SBrkr,1368,3,60,458,0,0,1,0,2,1,Gd,3,Typ,0,NA,Detchd,1972,RFn,1,327,TA,TA,Y,13,107,77,37,51,47,NA,NA,NA,9,6,2007,WD,Normal,60647
8388,111,RL,67,6203,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1.5Fin,5,5,1970,1961,Gable,CompShg,Wd Sdng,MetalSd,BrkFace,600,TA,TA,PConc,TA,TA,No,LwQ,917,Unf,86,186,737,GasA,TA,Y,SBrkr,982,616,105,1605,1,0,2,0,3,1,TA,8,Typ,0,NA,Detchd,1956,RFn,1,335,TA,TA,Y,8,116,62,29,89,35,NA,NA,NA,621,2,2009,WD,Family,141187
8389,30,RL,50,18093,Pave,NA,Reg,HLS,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1977,1965,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,No,BLQ,534,Unf,70,1048,1033,GasA,Ex,Y,SBrkr,1049,434,89,1521,0,0,1,0,3,1,TA,8,Typ,0,Gd,Attchd,2000,RFn,2,595,TA,TA,Y,43,32,79,16,6,29,NA,NA,NA,70,8,2009,WD,Normal,147950
8390,65,RL,60,15673,Pave,NA,Reg,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1.5Fin,6,7,1934,1967,Gable,CompShg,HdBoard,VinylSd,None,0,Gd,TA,CBlock,TA,TA,No,ALQ,598,Unf,191,850,1077,GasA,Ex,Y,SBrkr,739,889,33,1668,1,0,0,0,3,1,TA,7,Typ,0,NA,Attchd,1939,Unf,2,557,TA,TA,Y,23,15,148,10,60,66,NA,NA,NA,159,4,2006,WD,Normal,169261
8391,76,RL,77,6457,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Artery,Norm,1Fam,2Story,6,6,1921,1984,Hip,CompShg,AsbShng,BrkFace,None,0,TA,TA,BrkTil,TA,TA,No,BLQ,972,Unf,105,34,1061,GasA,Ex,Y,SBrkr,1356,132,54,1368,1,0,1,1,3,1,Gd,5,Typ,1,Gd,Attchd,1996,Unf,2,635,TA,TA,Y,75,52,34,48,30,13,NA,MnPrv,NA,212,6,2007,WD,Normal,134726
8392,101,RL,NA,15419,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,4,5,1948,1954,Gable,CompShg,CemntBd,Plywood,BrkFace,174,TA,TA,CBlock,TA,TA,Av,Rec,753,Unf,133,334,633,GasA,TA,Y,SBrkr,843,107,41,776,0,1,2,0,3,1,TA,4,Typ,0,NA,NA,2005,RFn,0,162,TA,TA,Y,3,38,25,53,59,10,NA,NA,NA,594,5,2009,WD,Normal,64897
8393,44,RL,79,1896,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1Story,5,6,1972,1971,Gable,CompShg,Plywood,BrkFace,None,0,Gd,TA,CBlock,TA,TA,Gd,LwQ,888,Unf,70,297,463,GasA,TA,Y,SBrkr,506,119,30,463,0,0,1,0,1,1,TA,3,Typ,1,Gd,Detchd,1972,Unf,2,657,TA,NA,Y,74,45,145,54,11,57,NA,NA,NA,530,8,2007,WD,Normal,84811
8394,92,RL,52,1728,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1.5Fin,6,7,1961,1998,Gable,CompShg,MetalSd,Plywood,None,0,TA,TA,BrkTil,Gd,TA,No,GLQ,99,Rec,261,32,87,GasA,Fa,Y,SBrkr,657,590,91,1143,0,0,1,0,2,1,TA,5,Typ,1,TA,Detchd,1977,Fin,1,386,TA,TA,Y,108,39,53,64,85,28,NA,NA,NA,335,11,2008,WD,Normal,95176
8395,64,RL,51,3474,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Feedr,Norm,1Fam,1Story,5,4,1999,1987,Gable,CompShg,VinylSd,HdBoard,BrkFace,143,TA,TA,PConc,Gd,TA,Av,GLQ,593,Unf,190,112,832,GasA,Gd,Y,SBrkr,816,106,3,690,1,0,2,0,2,1,TA,4,Typ,0,NA,Attchd,2004,RFn,2,341,TA,TA,Y,142,18,19,14,35,18,NA,NA,NA,317,8,2006,WD,Normal,118132
8396,53,RL,NA,12282,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Artery,Norm,1Fam,1Story,5,6,1926,1955,Gable,CompShg,CemntBd,Wd Sdng,None,0,TA,TA,CBlock,Gd,TA,No,ALQ,445,Unf,52,658,649,GasA,TA,Y,FuseA,984,160,28,997,1,0,1,0,2,1,Gd,6,Typ,0,NA,Attchd,1959,RFn,1,220,TA,TA,Y,115,27,127,48,0,31,NA,NA,NA,807,2,2008,WD,Normal,61990
8397,55,RL,50,19490,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,10,5,2009,1988,Gable,CompShg,Wd Sdng,Wd Sdng,Stone,96,Fa,TA,PConc,Gd,TA,No,Unf,226,Unf,137,1431,1347,GasA,Ex,Y,SBrkr,1545,1285,52,2959,0,0,3,1,3,1,Gd,8,Typ,2,Fa,Attchd,2007,RFn,4,1093,TA,TA,Y,323,98,25,57,104,41,NA,NA,NA,542,6,2009,WD,Normal,419005
8398,52,RL,NA,23323,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,2Story,6,6,1968,1961,Gable,CompShg,MetalSd,HdBoard,None,0,TA,TA,PConc,Gd,TA,Mn,GLQ,308,Unf,77,136,623,GasA,Ex,Y,SBrkr,838,183,62,1192,1,0,2,0,3,1,TA,6,Typ,0,NA,Attchd,1920,Unf,2,598,TA,TA,Y,24,18,37,3,39,16,NA,NA,NA,232,10,2008,WD,Normal,115982
8399,29,RL,80,23903,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1997,1995,Gable,CompShg,HdBoard,VinylSd,None,210,TA,TA,CBlock,Gd,TA,Gd,GLQ,322,Unf,292,276,917,GasA,Ex,Y,SBrkr,1034,45,5,777,0,0,1,0,2,1,TA,4,Typ,1,TA,Attchd,1958,RFn,3,775,TA,TA,Y,104,31,19,1,3,69,NA,MnWw,NA,322,7,2007,WD,Normal,198894
8400,53,RM,75,12251,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1Story,8,5,2005,1980,Gable,CompShg,VinylSd,VinylSd,None,0,Gd,TA,PConc,Gd,TA,No,GLQ,818,Unf,169,911,1332,GasA,Ex,Y,SBrkr,1119,438,29,1442,0,0,2,1,3,1,Gd,7,Typ,1,Gd,Attchd,2004,Fin,3,652,TA,TA,Y,109,103,36,28,89,4,NA,NA,NA,149,9,2008,WD,Abnorml,240546
8401,39,RL,94,5091,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,7,4,1990,1996,Gable,CompShg,MetalSd,HdBoard,None,82,TA,TA,PConc,TA,TA,No,Unf,135,Unf,17,813,1677,GasA,TA,Y,SBrkr,1483,276,43,1817,0,0,2,1,4,1,Gd,6,Typ,0,NA,Detchd,NA,Fin,0,137,TA,TA,Y,495,83,26,35,18,51,NA,NA,NA,72,7,2006,WD,Normal,160780
8402,104,RL,98,12960,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1Story,8,6,2000,1984,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,PConc,Gd,TA,No,ALQ,1003,Unf,67,336,1007,GasA,Gd,Y,SBrkr,723,1438,46,2063,0,0,2,2,4,1,TA,8,Typ,0,NA,Attchd,2004,RFn,3,729,TA,TA,Y,266,115,10,26,53,20,NA,GdPrv,NA,429,10,2007,WD,Normal,290902
8403,58,RL,82,15199,Pave,NA,Reg,Lvl,AllPub,CulDSac,Gtl,NridgHt,Feedr,Norm,1Fam,2Story,5,6,1895,1965,Gable,CompShg,AsbShng,Wd Shng,None,0,TA,TA,BrkTil,TA,TA,No,ALQ,346,Unf,460,867,1044,GasA,Ex,Y,SBrkr,1100,251,43,1143,0,0,2,0,3,0,TA,4,Typ,1,NA,Attchd,1968,RFn,1,63,TA,TA,Y,128,36,99,26,54,15,NA,MnPrv,NA,210,10,2007,WD,Normal,74617
8404,83,RL,92,20806,Pave,NA,Reg,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,7,3,2008,1997,Gable,CompShg,VinylSd,VinylSd,Stone,186,Gd,TA,PConc,Gd,TA,Av,Unf,640,Unf,32,591,2037,GasA,TA,Y,SBrkr,1841,91,3,1718,1,0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,1985,RFn,4,906,TA,TA,Y,170,109,131,15,10,13,NA,NA,NA,55,6,2006,WD,Normal,305139
8405,34,RL,34,11176,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,1921,1954,Gable,CompShg,BrkFace,Plywood,BrkFace,31,TA,TA,CBlock,TA,TA,No,BLQ,553,Unf,153,824,1505,GasA,TA,Y,SBrkr,2066,26,8,1642,0,0,2,0,3,1,Gd,7,Typ,0,NA,Attchd,1964,Unf,1,357,TA,TA,Y,43,3,103,34,31,20,NA,NA,NA,18,3,2006,WD,Normal,179454
8406,64,RL,21,15347,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,2Story,4,6,1929,1971,Gable,CompShg,HdBoard,VinylSd,None,0,TA,TA,PConc,Gd,TA,No,Unf,19,Unf,232,687,336,GasA,Ex,Y,SBrkr,624,942,31,1616,0,0,3,0,3,1,Gd,6,Typ,0,TA,Detchd,1922,Unf,2,672,TA,TA,Y,49,48,148,27,13,22,NA,NA,NA,346,4,2007,WD,Normal,137504
8407,84,RL,80,9961,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,Twnhs,1Story,7,6,1966,1965,Gable,CompShg,MetalSd,Wd Sdng,BrkFace,0,TA,TA,PConc,TA,TA,No,ALQ,604,Unf,176,129,858,GasA,Gd,Y,SBrkr,1067,101,67,1194,1,0,1,0,2,1,TA,5,Typ,0,NA,Detchd,1979,Unf,2,422,TA,TA,Y,229,60,23,2,68,24,NA,NA,NA,525,5,2007,WD,Normal,133083
8408,43,FV,33,11026,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,Norm,1Fam,2Story,9,4,2003,2000,Gable,CompShg,Plywood,Wd Shng,BrkFace,145,Gd,TA,PConc,Gd,TA,No,BLQ,1474,Unf,77,615,1440,GasA,Ex,Y,SBrkr,1190,836,21,2218,1,0,2,1,4,1,Fa,9,Typ,1,Gd,Attchd,1998,RFn,2,342,TA,TA,Y,198,229,28,65,34,14,NA,NA,NA,501,7,2008,WD,Normal,260067
8409,89,RL,65,2076,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,NAmes,RRNn,Norm,1Fam,1.5Fin,4,4,1966,1963,Gable,CompShg,VinylSd,VinylSd,BrkFace,54,TA,TA,PConc,Gd,TA,No,GLQ,62,Unf,80,776,590,GasA,TA,Y,SBrkr,564,747,32,1237,0,0,1,1,3,1,TA,5,Typ,0,NA,Detchd,2009,Unf,2,386,TA,TA,Y,128,33,38,38,4,5,NA,NA,NA,779,12,2009,WD,Normal,42083
8410,110,RL,NA,7820,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,SLvl,6,5,1953,1953,Gable,CompShg,CemntBd,Wd Sdng,None,0,Gd,TA,CBlock,Gd,TA,No,Unf,367,Unf,201,990,973,GasA,Ex,Y,SBrkr,518,1449,84,1765,0,0,2,1,3,1,TA,7,Typ,1,Gd,Attchd,1997,Fin,1,100,TA,TA,Y,1,51,111,36,5,12,NA,MnPrv,NA,825,2,2010,WD,Normal,118326
8411,74,RL,99,32882,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,9,7,2008,2010,Gable,CompShg,VinylSd,VinylSd,Stone,248,Ex,TA,PConc,Gd,TA,Av,GLQ,1006,Unf,200,886,1817,GasA,Ex,Y,SBrkr,1748,764,23,2692,1,0,2,2,3,1,Fa,9,Typ,1,Fa,Attchd,1965,RFn,4,1095,TA,TA,Y,215,216,10,13,64,49,NA,NA,NA,205,7,2008,WD,Normal,477175
